Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
